City,City_ID,Country,Latitude,Longitude,Temperature,Humidity,Max Temp,Wind Speed,Cloudiness
Wattegama,1224061,LK,6.7989,81.4808,306.03,44,306.03,5.92,89
Monrovia,2274895,LR,6.3005,-10.7969,299.86,69,299.86,4.08,96
Rawson,3839307,AR,-43.3002,-65.1023,284.25,43,284.25,8.66,0
Dikson,1507390,RU,73.5069,80.5464,279.4,99,279.4,8.22,100
Ancud,3899695,CL,-41.8697,-73.8203,281.89,91,282.27,6.71,32
Guerrero Negro,4021858,MX,27.9769,-114.0611,295.87,81,295.87,2.3,1
Manoel Urbano,3663495,BR,-8.8389,-69.2597,294.57,64,294.57,1.11,18
Grand Gaube,934479,MU,-20.0064,57.6608,296.14,66,296.14,5.36,44
Asău,686090,RO,46.4333,26.4,300.66,25,305.24,3.0,0
Atar,2381334,MR,20.5169,-13.0499,306.4,41,306.4,2.38,19
Longyearbyen,2729907,SJ,78.2186,15.6401,278.06,81,278.06,1.54,75
Constitución,3893726,CL,-35.3333,-72.4167,285.08,97,285.08,2.8,100
Bauchi,2347468,NG,10.5,10.0,298.84,72,298.84,3.11,100
Cape Town,3369157,ZA,-33.9258,18.4232,288.83,80,289.88,0.45,60
Souillac,933995,MU,-20.5167,57.5167,296.13,69,296.13,8.12,58
Flinders,6255012,AU,-34.5833,150.8552,284.19,65,286.93,0.45,6
Tiksi,2015306,RU,71.6872,128.8694,288.86,46,288.86,4.53,34
Lubliniec,3092906,PL,50.669,18.6844,288.28,68,288.98,5.76,100
San Patricio,4726521,US,28.017,-97.5169,299.66,79,302.51,2.21,82
Berlevåg,780687,NO,70.8578,29.0864,285.04,58,285.12,5.14,75
Sangamner,1257436,IN,19.5667,74.2167,297.87,78,297.87,2.73,100
Waingapu,1622318,ID,-9.6567,120.2641,300.13,64,300.13,7.46,6
Saldanha,3361934,ZA,-33.0117,17.9442,289.13,73,289.13,4.05,2
Nogliki,2122783,RU,51.8333,143.1667,289.68,86,289.68,3.63,20
Tasiilaq,3424607,GL,65.6145,-37.6368,281.24,81,281.24,1.2,100
Mangan,1263776,IN,27.5167,88.5333,299.91,95,299.91,1.79,80
Pimentel,3693584,PE,-6.8367,-79.9342,289.82,83,289.82,1.79,100
Xinzhi,1788462,CN,36.4989,111.7047,304.83,40,304.83,3.85,50
Dudinka,1507116,RU,69.4058,86.1778,285.43,96,285.43,7.94,100
Gizo Government Station,2108857,SB,-8.103,156.8419,300.56,77,300.56,3.31,32
Shumyachi,493405,RU,53.8583,32.4242,301.64,43,301.64,6.49,100
Novyye Gorki,517144,RU,56.7253,41.0601,301.17,40,301.17,3.43,100
Hobart,2163355,AU,-42.8794,147.3294,281.0,78,282.07,0.45,20
Katsuura,2112309,JP,35.1333,140.3,298.21,90,298.21,4.69,66
Yenagoa,2318123,NG,4.9247,6.2642,299.76,76,299.76,3.05,100
Saint Anthony,5044290,US,45.0205,-93.218,291.96,71,293.81,1.34,1
Yangi Marg`ilon,1513491,UZ,40.4272,71.7189,303.55,19,303.83,3.09,0
Algiers,2507480,DZ,36.7525,3.042,302.05,66,302.05,7.72,40
Butaritari,2110227,KI,3.0707,172.7902,301.28,75,301.28,5.25,100
La Santisima Trinidad,3902377,BO,-14.8333,-64.9,294.74,52,294.74,1.92,2
Okhotsk,2122605,RU,59.3833,143.3,289.07,95,289.07,1.21,92
Namatanai,2090021,PG,-3.6667,152.4333,299.36,79,299.36,2.25,14
Mossamedes,3347019,AO,-15.1961,12.1522,298.11,55,298.11,6.1,3
Watrous,6176928,CA,51.6668,-105.4679,286.03,62,286.03,3.09,45
Tuktoyaktuk,6170031,CA,69.4541,-133.0374,281.87,92,281.87,4.81,100
Moussoro,2427336,TD,13.6408,16.4901,303.53,50,303.53,3.37,100
Arraial do Cabo,3471451,BR,-22.9661,-42.0278,294.07,88,294.07,6.17,20
Hithadhoo,1282256,MV,-0.6,73.0833,301.02,74,301.02,3.29,75
Diego de Almagro,3892454,CL,-26.3667,-70.05,285.15,39,285.15,0.51,6
Novyy Urgal,2047258,RU,51.0736,132.5642,294.56,70,294.56,0.81,36
Barpathār,1276869,IN,26.3,93.8667,297.68,99,297.68,1.44,100
Hofn,2630299,IS,64.2539,-15.2082,285.16,87,285.16,1.54,90
Saurimo,145531,AO,-9.6608,20.3916,304.54,17,304.54,3.88,18
Porto-Novo,2392087,BJ,6.4965,2.6036,300.19,72,300.19,4.26,100
Anastácio,3472284,BR,-20.4836,-55.8069,294.44,47,294.44,1.4,0
Lorengau,2092164,PG,-2.0226,147.2712,300.44,78,300.44,3.02,98
Pathein,1328421,MM,16.7833,94.7333,299.28,87,299.28,1.91,100
Hollins,4764534,US,37.3413,-79.9431,294.34,95,295.42,1.54,90
Ulladulla,2145554,AU,-35.35,150.4667,281.53,70,283.08,3.16,4
Bambous Virieux,1106677,MU,-20.3428,57.7575,297.29,60,297.29,8.75,75
Turka,690960,UA,49.1541,23.0297,288.85,78,288.85,3.75,50
Bilma,2446796,NE,18.6853,12.9164,311.39,23,311.39,1.52,59
Vila Franca do Campo,3372472,PT,37.7167,-25.4333,297.38,70,297.38,1.45,63
Great Falls,5655240,US,47.5002,-111.3008,292.49,38,293.94,4.12,1
Barrow,5880054,US,71.2906,-156.7887,274.16,80,274.16,7.2,90
Kon Tum,1578500,VN,14.35,108.0,297.15,87,297.15,0.85,66
Bisira,3702269,PA,8.5196,-81.7115,288.62,92,288.62,1.01,98
Boa Vista,3664980,BR,2.8197,-60.6733,297.14,88,297.14,1.54,0
Ponta do Sol,2264557,PT,32.6667,-17.1,304.33,29,304.33,2.52,35
Kalmunai,1242110,LK,7.4167,81.8167,303.29,64,303.29,4.35,97
Kitimat,5993072,CA,54.0524,-128.6534,283.1,94,283.1,1.56,0
Bairiki Village,7601762,KI,1.3292,172.9752,301.15,74,301.15,4.12,20
Grindavik,3416888,IS,63.8424,-22.4338,285.34,100,285.41,7.2,90
Chara,2025630,RU,56.9064,118.2631,292.92,49,292.92,1.06,47
Yulara,6355222,AU,-25.2406,130.9889,290.06,17,290.06,2.57,0
Sebrovo,497995,RU,50.0981,43.2976,303.95,39,303.95,2.54,71
Kaitangata,2208248,NZ,-46.2817,169.8464,277.15,97,277.15,3.52,100
Seminole,4172445,US,28.7086,-81.2081,298.27,94,299.85,2.57,1
Leningradskiy,2123814,RU,69.3833,178.4167,272.0,88,272.0,0.83,58
Yenişehir,737611,TR,40.2644,29.6531,304.18,37,304.18,2.06,0
Ponta Delgada,3372783,PT,37.7333,-25.6667,297.55,64,297.55,2.57,20
Igrim,1505965,RU,63.1906,64.4162,295.41,44,295.41,4.63,97
Caravelas,3466980,BR,-17.7125,-39.2481,293.31,89,293.31,1.04,16
Nikolskoye,546105,RU,59.7035,30.7861,296.09,58,296.09,3.79,83
Coromandel,3465487,BR,-18.4733,-47.2003,290.66,51,290.66,2.19,23
